url,question_text,image_urls
https://www.hackerrank.com/challenges/count-strings?isFullScreen=true,"A regular expression is used to describe a set of strings. For this problem the alphabet is limited to 'a' and 'b'.
We define
to be a valid regular expression if:
1)
is ""
"" or ""
"".
2)
is of the form ""
"", where
and
are regular expressions.
3)
is of the form ""
"" where
and
are regular expressions.
4)
is of the form ""
"" where
is a regular expression.
Regular expressions can be nested and will always have have two elements in the parentheses. ('
' is an element, '
' is not; basically, there will always be pairwise evaluation) Additionally, '
' will always be the second element; '
' is invalid.
The set of strings recognized by
are as follows:
1) If
is ""
"", then the set of strings recognized
.
2) If
is ""
"", then the set of strings recognized
.
3) If
is of the form ""
"" then the set of strings recognized = all strings which can be obtained by a concatenation of strings
and
, where
is recognized by
and
by
.
4) If
is of the form ""
"" then the set of strings recognized = union of the set of strings recognized by
and
.
5) If
is of the form ""
"" then the the strings recognized are the empty string and the concatenation of an arbitrary number of copies of any string recognized by
.
Task
Given a regular expression and an integer,
, count how many strings of length
are recognized by it.
Input Format
The first line contains the number of test cases
.
test cases follow.
Each test case contains a regular expression,
, and an integer,
.
Constraints
It is guaranteed that
will conform to the definition provided above.
Output Format
Print
lines, one corresponding to each test case containing the required answer for the corresponding test case. As the answers can be very big, output them modulo
.
Sample Input
3  
((ab)|(ba)) 2  
((a|b)*) 5  
((a*)(b(a*))) 100
Sample Output
2  
32  
100
Explanation
For the first case, the only strings recognized are ""
"" and ""
"". Of the
possible strings of length
,
of them fit that expression.
For the second case, the RegEx recognizes any string of any length containing only
's and
's. The number of strings of length
recognized by this expression is
.
For the third case, the RegEx recognizes any string having one
, preceeded and followed by any number of
's. There are
strings of length
which have a single
in them.",
https://www.hackerrank.com/challenges/kingdom-connectivity?isFullScreen=true,"It has been a prosperous year for King Charles and he is rapidly expanding his empire. In fact, he recently invaded his neighboring country and set up a new kingdom! This kingdom has many cities connected by
one-way roads.
To ensure higher connectivity, two cities are sometimes directly linked by more than one road.
In the new kingdom, King Charles has made one of the cities his financial capital and another city his warfare capital. He wants a better connectivity between these two capitals. The connectivity of a pair of cities,
and
, is defined as the number of different paths from city
to city
. A path may use a road more than once if possible. Two paths are considered different if they do not use the same sequence of roads the same number of times.
There are
cities numbered
to
in the new kingdom and
one-way roads
. City
is the financial capital and city
is the warfare capital.  Determine the number of different paths between cities
and
. Since the number may be large, print the result modulo
or
.
Note:
Two roads may connect the same cities, but they are still considered distinct for path connections.
For example, there are
cities connected by
roads as shown in the following graph:
https://s3.amazonaws.com/hr-assets/0/1544118885-4df6f8d3d2-kingdomconnectionsexample.png
There are two direct paths and one cyclic path.  Direct paths are
and
and
.  The cycle
can be repeated any number of times, so there are infinite paths.  If the connection
did not exist, there would be only the two direct paths.
Function Description
Complete the
countPaths
function in the editor below.  It should print your result, modulo
if there are limited paths or
INFINITE PATHS
if they are unlimited. There is no expected return value.
countPaths has the following parameters:
-
n
: the integer number of cities
-
edges
: a 2D integer array where
is the source city and
is the destination city for the directed road
Input Format
The first line contains two integers
and
.
Each of the following
lines contains two space-separated integers that represent source and destination cities for a directed connection.
Constraints
Output Format
Print the number of different paths from city
to city
modulo
. If there are infinitely many different paths, print
INFINITE PATHS
.
Sample Input
Sample Input 0
5 5  
1 2  
2 4  
2 3  
3 4  
4 5
Sample Output 0
2
Explanation 0
https://s3.amazonaws.com/hr-assets/0/1544114786-0bdccfc41c-kingdomconnectionssample0.png
There are two possible paths from city
to city
:
Sample Input 1
5 5  
1 2  
4 2  
2 3  
3 4  
4 5
Sample Output 1
INFINITE PATHS
Explanation 1
https://s3.amazonaws.com/hr-assets/0/1544115010-5330c83bf8-kingdomconnectionssample1.png
The cycle in the graph can be traversed an infinite number of times on the way to city
.",
https://www.hackerrank.com/challenges/morgan-and-a-string?isFullScreen=true,"Jack and Daniel are friends. Both of them like letters, especially uppercase ones.
They are cutting uppercase letters from newspapers, and each one of them has his collection of letters stored in a stack.
One beautiful day, Morgan visited Jack and Daniel. He saw their collections. He wondered what is the lexicographically minimal string made of those two collections. He can take a letter from a collection only when it is on the top of the stack.  Morgan wants to use all of the letters in their collections.
As an example, assume Jack has collected
and Daniel has
.  The example shows the top at index
for each stack of letters. Assemble the string  as follows:
Jack
Daniel
result
ACA
BCF
CA
BCF
A
CA
CF
AB
A
CF
ABC
A
CF
ABCA
F
ABCAC
ABCACF
Note
the choice when there was a tie at
CA
and
CF
.
Function Description
Complete the
morganAndString
function in the editor below.
morganAndString has the following parameter(s):
string a
: Jack's letters, top at index
string b
: Daniel's letters, top at index
Returns
-
string
: the completed string
Input Format
The first line contains the an integer
, the number of test cases.
The next
pairs of lines are as follows:
- The first line contains string
- The second line contains string
.
Constraints
and
contain upper-case letters only, ascii[A-Z].
Sample Input
2
JACK
DANIEL
ABACABA
ABACABA
Sample Output
DAJACKNIEL
AABABACABACABA
Explanation
The first letters to choose from are J and D since they are at the top of the stack. D is chosen and the options now are J and A. A is chosen. Then the two stacks have J and N, so J is chosen. The current string is DA. Continue this way to the end to get the string.",
https://www.hackerrank.com/challenges/red-knights-shortest-path?isFullScreen=true,"In ordinary chess, the pieces are only of two colors, black and white. In our version of chess, we are including new pieces with unique movements. One of the most powerful pieces in this version is the
red knight
.
The red knight can move to six different positions based on its current position (UpperLeft, UpperRight, Right, LowerRight, LowerLeft, Left) as shown in the figure below.
https://s3.amazonaws.com/hr-challenge-images/0/1479394883-0caf08859d-Capture1.PNG
The board is a grid of size
. Each cell is identified with a pair of coordinates
, where
is the row number and
is the column number, both zero-indexed. Thus,
is the upper-left corner and
is the bottom-right corner.
Complete the function
printShortestPath
, which takes as input the grid size
, and the coordinates of the starting and ending position
and
respectively, as input. The function does not return anything.
Given the coordinates of the starting position of the red knight and the coordinates of the destination, print the minimum number of moves that the red knight has to make in order to reach the destination and after that, print the order of the moves that must be followed to reach the destination in the shortest way. If the destination cannot be reached, print only the word ""Impossible"".
Note:
There may be multiple shortest paths leading to the destination. Hence, assume that the red knight considers its possible neighbor locations in the following order of priority:
UL, UR, R, LR, LL, L
. In other words, if there are multiple possible options, the red knight prioritizes the first move in this list, as long as the shortest path is still achievable. Check sample input
for an illustration.
Input Format
The first line of input contains a single integer
. The second line contains four space-separated integers
.
denotes the coordinates of the starting position and
denotes the coordinates of the final position.
Constraints
the starting and the ending positions are different
Output Format
If the destination can be reached, print two lines. In the first line, print a single integer denoting the minimum number of moves that the red knight has to make in order to reach the destination. In the second line, print the space-separated sequence of moves.
If the destination cannot be reached, print a single line containing only the word
Impossible
.
Sample Input 0
7
6 6 0 1
Sample Output 0
4
UL UL UL L
Explanation 0
https://s3.amazonaws.com/hr-assets/0/1497577745-346b70e024-Capture1.PNG
Sample Input 1
6
5 1 0 5
Sample Output 1
Impossible
Explanation 1
https://s3.amazonaws.com/hr-assets/0/1497577769-631949c493-Capture2.PNG
Sample Input 2
7
0 3 4 3
Sample Output 2
2
LR LL
Explanation 2
https://s3.amazonaws.com/hr-assets/0/1497577793-1e86b71144-Capture3.PNG",
https://www.hackerrank.com/challenges/two-robots?isFullScreen=true,"You have a warehouse with
containers filled with an infinite number of candies. The containers are arranged in a single row, equally spaced to be
meter apart. You also have
robots that can pick up
piece of candy and transport it between any two containers.
The robots take instructions in the form of
queries
consisting of two integers,
and
, respectively. To execute a query, a robot travels to container
, picks up
candy, transports it to container
, and then stops at
until it receives another query.
Calculate the
minimum total distance
the robots must travel to execute
queries
in order
.
Note:
You choose which robot executes each query.
Input Format
The first line contains a single integer,
(the number of test cases); each of the
test cases is described over
lines.
The first line of a test case has two space-separated integers,
(the number of containers) and
(the number of queries).
The
subsequent lines each contain two space-separated integers,
and
, respectively; each line
describes the
query.
Constraints
Output Format
On a new line for each test case, print an integer denoting the
minimum total distance
that the robots must travel to execute the queries in order.
Sample Input
3
5 4
1 5
3 2
4 1
2 4
4 2
1 2
4 3
10 3
2 4
5 4
9 8
Sample Output
11
2
5
Explanation
In this explanation, we refer to the two robots as
and
, each container
as
, and the total distance traveled for each query
as
.
Note:
For the first query a robot executes, there is no travel distance. For each subsequent query that robot executes, it must travel from the location where it completed its last query.
Test Case 0:
The minimum distance traveled is
:
Robot:
meters.
Robot:
meter.
Robot:
meters.
Robot:
meters.
Sum the distances traveled (
) and print the result on a new line.
Test Case 1:
Robot:
meters.
Robot:
meters.
Sum the distances traveled (
) and print the result on a new line.
Test Case 2:
Robot:
meters.
Robot:
meters.
Robot:
meters.
Sum the distances traveled (
) and print the result on a new line.",
https://www.hackerrank.com/challenges/coin-change?isFullScreen=true,"Given an amount and the denominations of coins available, determine how many ways change can be made for amount.  There is a limitless supply of each coin type.
Example
There are
ways to make change for
:
,
, and
.
Function Description
Complete the
getWays
function in the editor below.
getWays has the following parameter(s):
int n:
the amount to make change for
int c[m]:
the available coin denominations
Returns
int:
the number of ways to make change
Input Format
The first line contains two space-separated integers
and
, where:
is the amount to change
is the number of coin types
The second line contains
space-separated integers that describe the values of each coin type.
Constraints
Each
is guaranteed to be distinct.
Hints
Solve overlapping subproblems using
Dynamic Programming
(DP):
You can solve this problem recursively but will not pass all the test cases without optimizing to eliminate the
overlapping subproblems
. Think of a way to store and reference previously computed solutions to avoid solving the same subproblem multiple times.
* Consider the degenerate cases:
- How many ways can you make change for
cents? 
    - How many ways can you make change for
cents if you have no coins?
* If you're having trouble defining your solutions store, then think about it in terms of the base case
.
- The answer may be larger than a
-bit integer.
Sample Input 0
4 3
1 2 3
Sample Output 0
4
Explanation 0
There are four ways to make change for
using coins with values given by
:
Sample Input 1
10 4
2 5 3 6
Sample Output 1
5
Explanation 1
There are five ways to make change for
units using coins with values given by
:",
https://www.hackerrank.com/challenges/happy-king?isFullScreen=true,"The King of Byteland wants to grow his territory by conquering
other countries. To prepare his
heirs for the future, he decides they must work together to capture each country.
The King has an army,
, of
battalions; the
battalion has
soldiers. For each battle, the heirs get a detachment of soldiers to share but will fight amongst themselves and lose the battle if they don't each command the same number of soldiers (i.e.: the detachment must be divisible by
). If given a detachment of size
, the heirs will fight alone without any help.
The battalions chosen for battle must be selected in the following way:
A subsequence of
battalions must be selected (from the
battalions in army
).
The
battle will have a squad of soldiers from the
selected battalion such that its size is divisible by
.
The soldiers within a battalion have unique strengths. For a battalion of size
, the detachment of soldiers
is
different
from the detachment of soldiers
The King tasks you with finding the number of ways of selecting
detachments of battalions to capture
countries using the criterion above. As this number may be quite large, print the answer modulo
.
Input Format
The first line contains two space-separated integers,
(the number of battalions in the King's army) and
(the number of countries to conquer), respectively.
The second line contains
space-separated integers describing the King's army,
, where the
integer denotes the number of soldiers in the
battalion (
).
Constraints
holds for test cases worth at least
of the problem's score.
Output Format
Print the number of ways of selecting the
detachments of battalions modulo
.
Sample Input
3 2
3 4 5
Sample Output
20
Explanation
First, we must find the ways of selecting
of the army's
battalions; then we must find all the ways of selecting detachments for each choice of battalion.
Battalions
:
has
soldiers, so the only option is an empty detachment (
).
has
soldiers, giving us
detachment options (
and
).
So for this subset of battalions, we get
possible detachments.
Battalions
:
has
soldiers, so the only option is an empty detachment (
).
has
soldiers, giving us
detachment options (
,
,
,
,
,
).
So for this subset of battalions, we get
possible detachments.
Battalions
:
has
soldiers, giving us
detachment options (
and
).
has
soldiers, giving us
detachment options (
,
,
,
,
,
).
So for this subset of battalions, we get
possible detachments.
In total, we have
ways to choose detachments, so we print
, which is
.",
https://www.hackerrank.com/challenges/permutation-game?isFullScreen=true,"Alice and Bob play the following game:
They choose a permutation of the numbers
to
.
Alice plays first and they alternate.
In a turn, they can remove any one remaining number from the permutation.
The game ends when the remaining numbers form an increasing sequence of
or more numbers. The person who played the turn that leaves an increasing sequence wins the game.
Assuming both play optimally, who wins the game? Return
Alice
or
Bob
.
Example
This is the starting permutation to analyze,
.  First, Alice chooses
or
. For the example, Alice chooses
and leaves
.  Since this is a decreasing sequence, Bob can remove any number for optimum play.  He will lose regardless.  Alice then removes any number leaving an array of only one element.  Since Alice removed the last element to create an increasing sequence, Alice wins.
Function Description
Complete the
permutationGame
function in the editor below.
permutationGame has the following parameter:
-
int arr[n]:
the starting permutation
Returns
string:
either
Alice
or
Bob
Input Format
The first line contains the number of test cases
.
Each of the next
pairs of lines is in the following format:
- The first line contains an integer
, the size of the array
- The second line contains
space-separated integers,
where
Constraints
The permutation will not be an increasing sequence initially.
Sample Input
STDIN       Function
-----       --------
2           t = 2
3           arr[] size n = 3
1 3 2       arr = [1, 3, 2]
5           n = 5
5 3 2 1 4   arr = [5, 3, 2, 1, 4]
Sample Output
Alice
Bob
Explanation
For the first test, Alice can remove
or
to leave an increasing sequence and win the game.
For the second test, if
is removed then the only way to have an increasing sequence is to only have
number left.  This takes a total of
moves, and Bob wins.
If Alice removes the
on the first move, it will take
more moves to create an increasing sequence. Bob wins. 
If Alice removes something else, Bob can remove
on his next turn to create the same game state.  It is a decreasing sequence with
numbers left.",
https://www.hackerrank.com/challenges/almost-integer-rock-garden?isFullScreen=true,"Victor is building a
Japanese rock garden
in his
square courtyard. He overlaid the courtyard with a
Cartesian coordinate system
so that any point
in the courtyard has coordinates
and
. Victor wants to place
stones in the garden according to the following rules:
The center of each stone is located at some point
, where
and
are integers
.
The coordinates of all twelve stones are pairwise distinct.
The
Euclidean distance
from the center of any stone to the
origin
is
not an integer
.
The sum of Euclidean distances between all twelve points and the origin is an
almost integer
, meaning the absolute difference between this sum and an integer must be
.
Given the values of
and
for the first stone Victor placed in the garden, place the remaining
stones according to the requirements above. For each stone you place, print two space-separated integers on a new line describing the respective
and
coordinates of the stone's location.
Input Format
Two space-separated integers describing the respective values of
and
for the first stone's location.
Constraints
Output Format
Print
lines, where each line contains two space-separated integers describing the respective values of
and
for a stone's location.
Sample Input 0
7 11
Sample Output 0
11 1
-2 12
5 4
12 -3
10 3
9 6
-12 -7
1 11
-6 -6
12 -4
4 12
Explanation 0
The diagram below depicts the placement of each stone and maps its distance to the origin (note that
red
denotes the first stone placed by Victor and
blue
denotes the eleven remaining stones we placed):
https://s3.amazonaws.com/hr-assets/0/1487931639-e8d05e48d9-image-with-roots.png
Now, let's determine if the sum of these distances is an almost integer. First, we find the distance from the origin to the stone Victor placed at
, which is
. Next, we calculate the distances for the remaining stones we placed in the graph above:
When we sum these eleven distances with the distance for the stone Victor placed, we get
. The nearest integer to this number is
, and the distance between this sum and the nearest integer is
(meaning it's an almost integer). Because this configuration satisfies all of Victor's rules for his rock garden, we print eleven lines of
x y
coordinates describing the locations of the stones we placed.",
https://www.hackerrank.com/challenges/computer-game?isFullScreen=true,"Sophia is playing a game on the computer. There are two random arrays A & B, each having the same number of elements. The game begins with Sophia removing a pair (A
i
, B
j
) from the array if they are not
co-prime
. She keeps a count on the number of times this operation is done.
Sophia wants to find out the maximal number of times(S) she can do this on the arrays. Could you help Sophia find the value?
Input Format
The first line contains an integer
n
. 2 lines follow, each line containing
n
numbers separated by a single space. The format is shown below.
n
A[0] A[1] ... A[n - 1]
B[0] B[1] ... B[n - 1]
Constraints
0 < n <= 10
5
2 <= A[i], B[i] <= 10
9
Each element in both arrays are generated randomly between 2 and 10
9
Output Format
Output S which is the maximum number of times the above operation can be made.
Sample Input
4
2 5 6 7
4 9 10 12
Sample Output
3
Explanation
You can remove:
(2, 4)
(5, 10)
(6, 9)
hence 3.",
