Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Two Sum,two-sum,1,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. ","Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Easy,55.8,31607760,17642653,,62301,2258,"A really brute force way would be to search for all possible pairs of numbers but that would be too slow. Again, it's best to try out brute force solutions for just for completeness. It is from these brute force solutions that you can come up with optimizations. So, if we fix one of the numbers, say x, we have to scan the entire array to find the next number y which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","15,18,167,170,560,653,1083,1798,1830,2116,2133,2320,2427,2430,2442,2455,2476,2480,2524,2561,2917","3Sum,4Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Subarray Sum Equals K,Two Sum IV - Input is a BST,Two Sum Less Than K,Max Number of K-Sum Pairs,Count Good Meals,Count Number of Pairs With Absolute Difference K,Number of Pairs of Strings With Concatenation Equal to Target,Find All K-Distant Indices in an Array,First Letter to Appear Twice,Number of Excellent Pairs,Number of Arithmetic Triplets,Node With Highest Edge Score,Check Distances Between Same Letters,Find Subarrays With Equal Sum,Largest Positive Integer That Exists With Its Negative,Number of Distinct Averages,Count Pairs Whose Sum is Less than Target"
Add Two Numbers,add-two-numbers,2,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. ","Linked List,Math,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjMx",Medium,46.3,12668194,5863492,,33854,6788,,"43,67,371,415,445,1031,1774,2871","Multiply Strings,Add Binary,Sum of Two Integers,Add Strings,Add Two Numbers II,Add to Array-Form of Integer,Add Two Polynomials Represented as Linked Lists,Double a Number Represented as a Linked List"
Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,3,"Given a string s, find the length of the longest substring without duplicate characters. ","Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",Medium,37.0,20626143,7629310,,42267,2055,Generate all possible substrings & check for each substring if it's valid and keep updating maxLen accordingly.,"159,340,1034,1813,2209,2338,2478,2487,2856,3266,3267","Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers,Maximum Erasure Value,Number of Equal Count Substrings,Minimum Consecutive Cards to Pick Up,Longest Nice Subarray,Optimal Partition of String,Count Complete Subarrays in an Array,Find Longest Special Substring That Occurs Thrice II,Find Longest Special Substring That Occurs Thrice I"
Median of Two Sorted Arrays,median-of-two-sorted-arrays,4,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)). ","Array,Binary Search,Divide and Conquer","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEy",Hard,43.9,7875934,3456788,,30250,3396,,2522,Median of a Row Wise Sorted Matrix
Longest Palindromic Substring,longest-palindromic-substring,5,"Given a string s, return the longest palindromic substring in s. ","Two Pointers,String,Dynamic Programming","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,35.9,10912684,3916971,,30936,1905,"How can we reuse a previously computed palindrome to compute a larger palindrome? If “aba” is a palindrome, is “xabax” a palindrome? Similarly is “xabay” a palindrome? Complexity based hint:
If we use brute-force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation.","214,266,336,516,647,2559","Shortest Palindrome,Palindrome Permutation,Palindrome Pairs,Longest Palindromic Subsequence,Palindromic Substrings,Maximum Number of Non-overlapping Palindrome Substrings"
Zigzag Conversion,zigzag-conversion,6,"The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows: ",String,VG9waWNUYWdOb2RlOjEw,Medium,51.7,3468865,1792401,,8551,15424,,,
Reverse Integer,reverse-integer,7,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned). ",Math,VG9waWNUYWdOb2RlOjg=,Medium,30.3,13608607,4129756,,14231,13784,,"8,190,2238,2525","String to Integer (atoi),Reverse Bits,A Number After a Double Reversal,Count Number of Distinct Integers After Reverse Operations"
String to Integer (atoi),string-to-integer-atoi,8,"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer. The algorithm for myAtoi(string s) is as follows: Return the integer as the final result. ",String,VG9waWNUYWdOb2RlOjEw,Medium,19.3,10430300,2010457,,5422,14782,,"7,65,2168","Reverse Integer,Valid Number,Check if Numbers Are Ascending in a Sentence"
Palindrome Number,palindrome-number,9,"Given an integer x, return true if x is a palindrome, and false otherwise. ",Math,VG9waWNUYWdOb2RlOjg=,Easy,59.3,10966241,6498711,,14149,2823,Beware of overflow when you reverse the integer.,"234,1375,2481,2998,3548,3552","Palindrome Linked List,Find Palindrome With Fixed Length,Strictly Palindromic Number,  Count Symmetric Integers,Find the Count of Good Integers,Find the Largest Palindrome Divisible by K"
Regular Expression Matching,regular-expression-matching,10,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: The matching should cover the entire input string (not partial). ","String,Dynamic Programming,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx",Hard,29.3,4000686,1172685,,12750,2297,,44,Wildcard Matching
