Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Human Traffic of Stadium,human-traffic-of-stadium,601,"Table: Stadium  Write a solution to display the records with three or more rows with consecutive id's, and the number of people is greater than or equal to 100 for each. Return the result table ordered by visit_date in ascending order. The result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,49.8,268369,133569,,760,572,,,
Friend Requests II: Who Has the Most Friends,friend-requests-ii-who-has-the-most-friends,602,Table: RequestAccepted  Write a solution to find the people who have the most friends and the most friends number. The test cases are generated so that only one person has the most friends. The result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,61.0,407606,248528,,807,142,"Being friends is bidirectional. If you accept someone's adding friend request, both you and the other person will have one more friend.",,
Consecutive Available Seats,consecutive-available-seats,603,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,65.3,148729,97184,,650,80,,,
Design Compressed String Iterator,design-compressed-string-iterator,604,,"Array,String,Design,Iterator","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDY0",Easy,40.2,92801,37300,,452,166,,"146,443","LRU Cache,String Compression"
Can Place Flowers,can-place-flowers,605,"You have a long flowerbed in which some of the plots are planted, and some are not. However, flowers cannot be planted in adjacent plots. Given an integer array flowerbed containing 0's and 1's, where 0 means empty and 1 means not empty, and an integer n, return true if n new flowers can be planted in the flowerbed without violating the no-adjacent-flowers rule and false otherwise. ","Array,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3",Easy,28.9,4114584,1189538,,7050,1284,,"495,735","Teemo Attacking,Asteroid Collision"
Construct String from Binary Tree,construct-string-from-binary-tree,606,"Given the root node of a binary tree, your task is to create a string representation of the tree following a specific set of formatting rules. The representation should be based on a preorder traversal of the binary tree and must adhere to the following guidelines: Node Representation: Each node in the tree should be represented by its integer value. Parentheses for Children: If a node has at least one child (either left or right), its children should be represented inside parentheses. Specifically: Omitting Empty Parentheses: Any empty parentheses pairs (i.e., ()) should be omitted from the final string representation of the tree, with one specific exception: when a node has a right child but no left child. In such cases, you must include an empty pair of parentheses to indicate the absence of the left child. This ensures that the one-to-one mapping between the string representation and the original binary tree structure is maintained. In summary, empty parentheses pairs should be omitted when a node has only a left child or no children. However, when a node has a right child but no left child, an empty pair of parentheses must precede the representation of the right child to reflect the tree's structure accurately. ","String,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,70.1,485730,340533,,138,59,,"536,652","Construct Binary Tree from String,Find Duplicate Subtrees"
Sales Person,sales-person,607,"Table: SalesPerson  Table: Company  Table: Orders  Write a solution to find the names of all the salespersons who did not have any orders related to the company with the name ""RED"". Return the result table in any order. The result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,65.9,441226,290947,,1291,107,"You need to query who sold to company 'RED' first, then output the sales person who is not in the first query result.",,
Tree Node,tree-node,608,Table: Tree  Each node in the tree can be one of three types: Write a solution to report the type of each node in the tree. Return the result table in any order. The result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,73.9,267208,197459,,1305,128,You can judge the node type by querying whether the node's id shows up in p_id column and whether the node's p_id is null.,,
Find Duplicate File in System,find-duplicate-file-in-system,609,"Given a list paths of directory info, including the directory path, and all the files with contents in this directory, return all the duplicate files in the file system in terms of their paths. You may return the answer in any order. A group of duplicate files consists of at least two files that have the same content. A single directory info string in the input list has the following format: It means there are n files (f1.txt, f2.txt ... fn.txt) with content (f1_content, f2_content ... fn_content) respectively in the directory ""root/d1/d2/.../dm"". Note that n >= 1 and m >= 0. If m = 0, it means the directory is just the root directory. The output is a list of groups of duplicate file paths. For each group, it contains all the file paths of the files that have the same content. A file path is a string that has the following format: ","Array,Hash Table,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw",Medium,67.6,241982,163512,,1536,1654,,2079,Delete Duplicate Folders in System
Triangle Judgement,triangle-judgement,610,Table: Triangle  Report for every three line segments whether they can form a triangle. Return the result table in any order. The result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,73.7,466904,344079,,720,216,,,
