Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Binary Watch,binary-watch,401,"A binary watch has 4 LEDs on the top to represent the hours (0-11), and 6 LEDs on the bottom to represent the minutes (0-59). Each LED represents a zero or one, with the least significant bit on the right.  Given an integer turnedOn which represents the number of LEDs that are currently on (ignoring the PM), return all possible times the watch could represent. You may return the answer in any order. The hour must not contain a leading zero. The minute must consist of two digits and may contain a leading zero. ","Backtracking,Bit Manipulation","VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5",Easy,56.6,296368,167783,,1502,2755,Simplify by seeking for solutions that involve comparing bit counts. Consider calculating all possible times for comparison purposes.,"17,191","Letter Combinations of a Phone Number,Number of 1 Bits"
Remove K Digits,remove-k-digits,402,"Given string num representing a non-negative integer num, and an integer k, return the smallest possible integer after removing k digits from num. ","String,Stack,Greedy,Monotonic Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDU0",Medium,35.0,1733158,606747,,10049,529,,"321,738,1792,2305,2337,3046","Create Maximum Number,Monotone Increasing Digits,Find the Most Competitive Subsequence,Append K Integers With Minimal Sum,Remove Digit From Number to Maximize Result,Minimum Operations to Make a Special Number"
Frog Jump,frog-jump,403,"A frog is crossing a river. The river is divided into some number of units, and at each unit, there may or may not exist a stone. The frog can jump on a stone, but it must not jump into the water. Given a list of stones positions (in units) in sorted ascending order, determine if the frog can cross the river by landing on the last stone. Initially, the frog is on the first stone and assumes the first jump must be 1 unit. If the frog's last jump was k units, its next jump must be either k - 1, k, or k + 1 units. The frog can only jump in the forward direction. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Hard,46.6,650168,302805,,5797,265,,"1952,2262,2855","Minimum Sideway Jumps,Solving Questions With Brainpower,Maximum Number of Jumps to Reach the Last Index"
Sum of Left Leaves,sum-of-left-leaves,404,"Given the root of a binary tree, return the sum of all left leaves. A leaf is a node with no children. A left leaf is a leaf that is the left child of another node. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Easy,61.7,1159085,715187,,5646,318,,,
Convert a Number to Hexadecimal,convert-a-number-to-hexadecimal,405,"Given a 32-bit integer num, return a string representing its hexadecimal representation. For negative integers, two’s complement method is used. All the letters in the answer string should be lowercase characters, and there should not be any leading zeros in the answer except for the zero itself. Note: You are not allowed to use any built-in library method to directly solve this problem. ","Math,Bit Manipulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5",Easy,50.9,351195,178863,,1369,227,,,
Queue Reconstruction by Height,queue-reconstruction-by-height,406,"You are given an array of people, people, which are the attributes of some people in a queue (not necessarily in order). Each people[i] = [hi, ki] represents the ith person of height hi with exactly ki other people in front who have a height greater than or equal to hi. Reconstruct and return the queue that is represented by the input array people. The returned queue should be formatted as an array queue, where queue[j] = [hj, kj] is the attributes of the jth person in the queue (queue[0] is the person at the front of the queue). ","Array,Binary Indexed Tree,Segment Tree,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjI4,VG9waWNUYWdOb2RlOjI5,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,74.2,439105,325722,,7173,739,"What can you say about the position of the shortest person?
If the position of the shortest person is i, how many people would be in front of the shortest person? Once you fix the position of the shortest person, what can you say about the position of the second shortest person?","315,2603","Count of Smaller Numbers After Self,Reward Top K Students"
Trapping Rain Water II,trapping-rain-water-ii,407,"Given an m x n integer matrix heightMap representing the height of each unit cell in a 2D elevation map, return the volume of water it can trap after raining. ","Array,Breadth-First Search,Heap (Priority Queue),Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUz",Hard,58.9,308019,181396,,4521,145,,"42,2588","Trapping Rain Water,Maximum Number of Points From Grid Queries"
Valid Word Abbreviation,valid-word-abbreviation,408,,"Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",Easy,36.9,857185,316007,,881,2376,,"411,527,2184","Minimum Unique Word Abbreviation,Word Abbreviation,Check if an Original String Exists Given Two Encoded Strings"
Longest Palindrome,longest-palindrome,409,"Given a string s which consists of lowercase or uppercase letters, return the length of the longest palindrome that can be built with those letters. Letters are case sensitive, for example, ""Aa"" is not considered a palindrome. ","Hash Table,String,Greedy","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Easy,55.6,1675397,931172,,6154,432,,"266,2237,2475","Palindrome Permutation,Longest Palindrome by Concatenating Two Letter Words,Largest Palindromic Number"
Split Array Largest Sum,split-array-largest-sum,410,"Given an integer array nums and an integer k, split nums into k non-empty subarrays such that the largest sum of any subarray is minimized. Return the minimized largest sum of the split. A subarray is a contiguous part of the array. ","Array,Binary Search,Dynamic Programming,Greedy,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDY4",Hard,58.2,840583,489028,,10603,246,,"1056,1192,1418,2242,2330,2358,2633,3347,3350","Capacity To Ship Packages Within D Days,Divide Chocolate,Fair Distribution of Cookies,Subsequence of Size K With the Largest Even Sum,Maximum Total Beauty of the Gardens,Number of Ways to Split Array,Minimum Cost to Split an Array,Distribute Elements Into Two Arrays I,Distribute Elements Into Two Arrays II"
Minimum Unique Word Abbreviation,minimum-unique-word-abbreviation,411,,"Array,String,Backtracking,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5",Hard,40.2,38204,15341,,183,146,,"320,408,527","Generalized Abbreviation,Valid Word Abbreviation,Word Abbreviation"
Fizz Buzz,fizz-buzz,412,"Given an integer n, return a string array answer (1-indexed) where: ","Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",Easy,74.4,2052270,1526867,,3038,429,,"1316,2619","Fizz Buzz Multithreaded,Categorize Box According to Criteria"
